,State,Station,Year,Month,Date,Day,Wind_Mx_Dir,Wind_Mx_Tim,Wind_Dir_9am,Wind_Dir_3pm,Rain,Min_Temp,Max_Temp,Rain_mm,Wind_Mx_Spd,Temp_9am,RH_9am,Wind_Spd_9am,MSLP_9am,Temp_3pm,RH_3pm,Wind_Spd_3pm,MSLP_3pm,Min_Temp_cat,Max_Temp_cat,Temp_9am_cat,Temp_3pm_cat
0,0,9,0.0,4.0,0.0,2.0,6,10.0,7,15,0,0.31794871794871793,0.3495370370370371,0.0,0.2627118644067796,0.335632183908046,0.7916666666666666,0.07017543859649122,0.6625441696113086,0.36853932584269666,0.6020408163265305,0.1746031746031746,0.6618705035971217,2,3,3,3
1,0,9,0.0,4.0,1.0,3.0,6,15.0,3,8,0,0.3769230769230769,0.4189814814814816,0.0,0.20338983050847456,0.41839080459770117,0.8333333333333334,0.03508771929824561,0.7438162544169593,0.4202247191011235,0.5612244897959183,0.14285714285714285,0.6834532374100739,3,3,3,3
2,0,9,0.0,4.0,2.0,4.0,6,8.0,7,4,1,0.541025641025641,0.3402777777777778,0.08163265306122448,0.34745762711864403,0.4137931034482759,0.9895833333333334,0.38596491228070173,0.6113074204947004,0.3415730337078651,0.7448979591836734,0.492063492063492,0.5629496402877692,4,3,3,3
3,0,9,0.0,4.0,3.0,5.0,10,18.0,0,15,1,0.2794871794871795,0.30787037037037046,0.002354788069073783,0.3305084745762712,0.30114942528735633,0.8125,0.17385964912280702,0.5936395759717321,0.2898876404494382,0.4591836734693877,0.31746031746031744,0.5593525179856123,2,2,2,2
4,0,9,0.0,4.0,4.0,6.0,8,15.0,9,9,0,0.27692307692307694,0.27083333333333337,0.0,0.3898305084745763,0.3425287356321839,0.6354166666666666,0.38596491228070173,0.6448763250883403,0.251685393258427,0.5714285714285714,0.492063492063492,0.6276978417266186,2,2,3,2
5,0,9,0.0,4.0,5.0,0.0,3,16.0,0,7,0,0.2076923076923077,0.2523148148148149,0.0,0.23728813559322032,0.30574712643678165,0.6458333333333334,0.17385964912280702,0.6466431095406371,0.27640449438202247,0.5306122448979591,0.20634920634920634,0.577338129496404,1,2,2,2
6,0,9,0.0,4.0,6.0,1.0,6,15.0,0,7,0,0.1512820512820513,0.2268518518518519,0.0,0.3898305084745763,0.17701149425287357,0.9895833333333334,0.17385964912280702,0.5830388692579511,0.24044943820224718,0.520408163265306,0.4444444444444444,0.5215827338129486,1,2,1,2
7,0,9,0.0,4.0,7.0,2.0,14,12.0,8,15,1,0.18717948717948718,0.1712962962962963,0.0070643642072213495,0.4406779661016949,0.26896551724137935,0.75,0.2982456140350877,0.4946996466431095,0.1685393258426966,0.5306122448979591,0.4126984126984127,0.5377697841726636,1,1,2,1
8,0,9,0.0,4.0,8.0,3.0,3,12.0,7,7,0,0.17179487179487182,0.20138888888888892,0.0,0.3135593220338983,0.24367816091954023,0.8541666666666666,0.03508771929824561,0.6236749116607783,0.2247191011235955,0.510204081632653,0.3492063492063492,0.557553956834532,1,1,2,2
9,0,9,0.0,4.0,9.0,4.0,7,13.0,12,7,0,0.23846153846153847,0.1226851851851852,0.0,0.3728813559322034,0.24367816091954023,0.8333333333333334,0.15789473684210525,0.5194346289752652,0.0741573033707865,0.9387755102040816,0.23809523809523808,0.5053956834532372,1,1,2,0
